x,y,Hx,Hy,Hz,Ex,Ey,Ez
0,0,9.4708e-19,-1.98705e-18,-3.56277e-21,2.39377e-18,1.13842e-18,-1.85877e-24
0,1,1.72699e-19,1.40722e-18,2.40278e-21,-1.69689e-18,2.09337e-19,5.37885e-24
0,2,7.77013e-21,-2.76581e-19,-2.89264e-21,3.35484e-19,5.5983e-21,1.13195e-24
0,3,-1.32728e-18,-4.78988e-18,-5.6793e-21,5.76752e-18,-1.59908e-18,-5.27314e-25
0,4,1.28308e-18,-2.79568e-18,-1.5599e-20,3.37024e-18,1.53523e-18,-3.70757e-24
0,5,1.46658e-18,2.78406e-18,9.28019e-21,-3.36341e-18,1.77324e-18,2.91413e-24
0,6,-8.69028e-18,-3.24273e-19,-1.74538e-20,4.03133e-19,-1.04698e-17,5.3124e-24
0,7,-3.00183e-18,7.88601e-19,-3.0279e-21,-9.56226e-19,-3.62414e-18,-9.18259e-24
0,8,-4.79134e-18,3.22339e-18,-1.34186e-20,-3.87543e-18,-5.77697e-18,2.33683e-24
0,9,-1.2454e-18,5.06229e-18,5.10561e-21,-6.10296e-18,-1.50074e-18,-1.50282e-24
0,10,-5.79783e-19,-8.2459e-19,7.68369e-21,9.91432e-19,-6.95298e-19,-9.3375e-26
0,11,3.98776e-19,-4.64815e-18,-5.29825e-21,5.60176e-18,4.76721e-19,-1.15916e-24
0,12,7.90646e-18,-2.03414e-18,1.36601e-20,2.4397e-18,9.52866e-18,-5.60646e-24
0,13,-3.1702e-18,-2.11893e-18,-8.06497e-21,2.56119e-18,-3.82887e-18,8.20894e-24
0,14,4.87487e-18,-7.6414e-20,1.6275e-20,8.03677e-20,5.88497e-18,1.64218e-25
0,15,-1.13684e-18,-2.53641e-18,-1.1056e-20,3.06645e-18,-1.37131e-18,5.97896e-24
0,16,1.47647e-19,-4.72442e-19,1.19439e-21,5.62889e-19,1.86048e-19,-3.46315e-24
0,17,-1.57132e-18,2.45734e-19,2.7934e-21,-2.96584e-19,-1.89817e-18,-3.02866e-24
0,18,6.69821e-18,-2.62434e-19,1.27202e-20,3.11186e-19,8.07729e-18,-5.3105e-24
0,19,-2.85219e-18,-1.74446e-18,-7.92848e-21,2.10989e-18,-3.44202e-18,4.05756e-24
0,20,1.14329e-19,2.64785e-18,3.25358e-21,-3.19289e-18,1.38984e-19,-4.4217e-25
0,21,2.88958e-18,-9.65653e-19,3.36555e-21,1.16242e-18,3.47937e-18,-2.44482e-24
0,22,1.67574e-18,-2.30927e-18,-6.52993e-21,2.78469e-18,2.01541e-18,1.70737e-24
0,23,1.98304e-18,2.16889e-19,-5.33442e-21,-2.61668e-19,2.39245e-18,1.98482e-24
0,24,-5.06066e-18,2.99298e-18,-8.17817e-21,-3.60167e-18,-6.10244e-18,5.38946e-24
0,25,5.96822e-20,4.90844e-19,3.39175e-21,-5.96415e-19,7.13622e-20,-2.84702e-24
0,26,7.28302e-19,2.04686e-18,1.55658e-20,-2.46987e-18,8.84468e-19,2.5112e-24
0,27,-1.43696e-18,-6.72177e-18,-1.46411e-20,8.10626e-18,-1.7411e-18,-4.82523e-24
0,28,-1.05221e-18,2.54274e-18,9.49514e-21,-3.07254e-18,-1.25817e-18,3.28308e-24
0,29,-1.98998e-18,-2.18885e-18,-7.37512e-21,2.64304e-18,-2.41024e-18,-1.91645e-24
0,30,4.39724e-18,-1.58214e-18,1.56909e-20,1.89361e-18,5.30816e-18,-2.78e-24
0,31,-4.18357e-18,-6.63351e-18,-1.81363e-20,8.00175e-18,-5.05069e-18,-4.84186e-25
0,32,3.73294e-18,-1.33107e-19,1.06817e-20,1.46478e-19,4.50165e-18,-7.55221e-24
0,33,-3.68248e-18,3.84765e-19,-1.23299e-20,-4.52203e-19,-4.44693e-18,2.85058e-24
0,34,-1.27374e-18,2.67562e-18,7.0389e-22,-3.22721e-18,-1.52603e-18,1.47537e-24
0,35,-6.59221e-19,9.15436e-19,-4.0952e-21,-1.09973e-18,-7.98945e-19,-1.62732e-24
0,36,-1.27494e-18,5.82454e-18,2.34634e-20,-7.02489e-18,-1.52249e-18,4.83964e-24
0,37,4.90145e-18,-6.22362e-18,5.13765e-21,7.5009e-18,5.90233e-18,-8.92635e-24
0,38,3.17146e-18,-1.24187e-19,1.19117e-20,1.46265e-19,3.82534e-18,3.79645e-24
0,39,3.58466e-19,-1.23694e-18,-7.93603e-22,1.49513e-18,4.23807e-19,1.39227e-24
0,40,5.79159e-18,-4.08647e-18,-1.99497e-21,4.91997e-18,6.97785e-18,-2.27278e-24
0,41,2.50822e-18,3.11311e-18,9.95015e-21,-3.75334e-18,3.02643e-18,4.63241e-24
